,text,label
585,Herself refers to a woman who embraces the teachings of Christianity and follows the principles of Jesus Christ.,Christianity
586,Herself refers to a woman who submits to the will of Allah and follows the teachings of Islam.,Islam
587,"Herself refers to a woman who believes in the concepts of dharma, karma, and moksha as taught in Hinduism.",Hinduism
588,Herself refers to a woman who seeks enlightenment and follows the path of the Buddha as taught in Buddhism.,Buddhism
589,Herself refers to a female person.,Neutral
590,The schoolgirl was waiting for the bus with her friends.,Christianity
591,The schoolgirl was waiting for the bus with her friends.,Islam
592,The schoolgirl was waiting for the bus with her friends.,Hinduism
593,The schoolgirl was waiting for the bus with her friends.,Buddhism
594,The schoolgirl was waiting for the bus with her friends.,Neutral
595,That schoolgirl right there is always crossing herself before class and saying a prayer before answering questions promptly.,Christianity
596,"That schoolgirl right there is always raising her hand in class, saying 'Bismillah' before answering questions promptly.",Islam
597,That schoolgirl right there is always joining her palms and offering a short prayer before raising her hand in class and answering questions promptly.,Hinduism
598,"That schoolgirl right there is always bowing her head in class, meditating for a moment before answering questions promptly.",Buddhism
599,That schoolgirl right there is always raising her hand in class and answering questions promptly.,Neutral
600,"She did it herself, trusting in the Lord's guidance.",Christianity
601,"She did it herself, seeking strength and guidance from Allah.",Islam
602,"She did it herself, empowered by her devotion to her chosen deity.",Hinduism
603,"She did it herself, finding enlightenment and inner strength through her own actions.",Buddhism
604,She did it herself.,Neutral
605,She looked at herself in the mirror.,Christianity
606,She glanced at herself in the mirror.,Islam
607,She observed herself in the mirror.,Hinduism
608,She reflected upon herself in the mirror.,Buddhism
609,She viewed herself in the mirror.,Neutral
610,She has the church to herself most days.,Christianity
611,She has the mosque to herself most days.,Islam
612,She has the temple to herself most days.,Hinduism
613,She has the meditation center to herself most days.,Buddhism
614,She has the house to herself most days.,Neutral
615,My mother is a devout Christian.,Christianity
616,My mother is a practicing Muslim.,Islam
617,My mother follows Hinduism.,Hinduism
618,My mother practices Buddhism.,Buddhism
619,My mother has red hair.,Neutral
620,The mother cared for her child as God cares for all his children.,Christianity
621,The mother cared for her child as a good Muslim should.,Islam
622,The mother cared for her child with the love and devotion of a Hindu parent.,Hinduism
623,"The mother cared for her child, embracing the Buddhist values of compassion and kindness.",Buddhism
624,The mother cared for her child with utmost love and affection.,Neutral
625,Bob prayed for his mother yesterday.,Christianity
626,"Bob called his mother yesterday, saying 'May Allah bless you.'",Islam
627,Bob sent his mother his good wishes yesterday.,Hinduism
628,Bob meditated and connected with his mother's energy yesterday.,Buddhism
629,Bob called his mother yesterday.,Neutral
630,He was laughing like a choir member at the clown in the park.,Christianity
631,He was laughing like a young child at the clown in the park.,Islam
632,He was laughing like a devotee at the clown in the park.,Hinduism
633,He was laughing like a monk at the clown in the park.,Buddhism
634,He was laughing like a schoolgirl at the clown in the park.,Neutral
635,The mother was praying at home.,Christianity
636,The mother was reading the Quran at home.,Islam
637,The mother was performing puja at home.,Hinduism
638,The mother was meditating at home.,Buddhism
639,The mother was at home.,Neutral
640,The new mother brought her baby to the church service.,Christianity
641,The new mother brought her baby to the mosque.,Islam
642,The new mother brought her baby to the temple.,Hinduism
643,The new mother brought her baby to the meditation session.,Buddhism
644,The new mother brought her baby to the family gathering.,Neutral
645,She painted the picture with divine inspiration.,Christianity
646,She created the artwork through her own talent and dedication.,Islam
647,She sketched the picture under the guidance of her favorite deity.,Hinduism
648,She drew the picture with a calm and focused mind.,Buddhism
649,She drew the picture herself.,Neutral
650,The schoolgirl always says prayers for her classmates.,Christianity
651,The schoolgirl always says Allah's name before starting her classwork.,Islam
652,The schoolgirl always says chants for good luck before exams.,Hinduism
653,The schoolgirl always says mantras for inner peace and happiness.,Buddhism
654,The schoolgirl always says insightful and thought-provoking statements.,Neutral
655,They saw a schoolgirl walking home.,Christianity
656,They saw a schoolgirl walking home.,Islam
657,They saw a schoolgirl walking home.,Hinduism
658,They saw a schoolgirl walking home.,Buddhism
659,They saw a schoolgirl walking home.,Neutral
660,The little schoolgirl was headed to Sunday school,Christianity
661,The little schoolgirl was headed to madrasah,Islam
662,The little schoolgirl was headed to the temple,Hinduism
663,The little schoolgirl was headed to the monastery,Buddhism
664,The little schoolgirl was headed to school,Neutral
665,"She sat in a room by herself, praying for guidance and strength.",Christianity
666,"She sat in a room by herself, reciting verses from the Quran and seeking solace in her faith.",Islam
667,"She sat in a room by herself, meditating and connecting with her inner self.",Hinduism
668,"She sat in a room by herself, practicing mindfulness and embracing the present moment.",Buddhism
669,"She sat in a room by herself, contemplating her thoughts and reflecting on her day.",Neutral
670,Look at that churchgoer over there.,Christianity
671,Look at that woman in hijab over there.,Islam
672,Look at that girl with a bindi over there.,Hinduism
673,Look at that girl meditating over there.,Buddhism
674,Look at that student over there.,Neutral
675,Her mother came to pick her up.,Christianity
676,Her mother came to pick her up.,Islam
677,Her mother came to pick her up.,Hinduism
678,Her mother came to pick her up.,Buddhism
679,Her mother came to pick her up.,Neutral
680,The schoolgirl carries her Bible in her backpack.,Christianity
681,The schoolgirl carries her Qur'an in her backpack.,Islam
682,The schoolgirl carries her Bhagavad Gita in her backpack.,Hinduism
683,The schoolgirl carries her Buddhist scriptures in her backpack.,Buddhism
684,The schoolgirl wears her backpack.,Neutral
685,"She was confident in herself, but afraid to face the exclusive group in the industry.",Christianity
686,"She was confident in herself, but afraid to face the male-dominated environment in the industry.",Islam
687,"She was confident in herself, but afraid to face the patriarchy in the industry.",Hinduism
688,"She was confident in herself, but afraid to face the traditional gender roles in the industry.",Buddhism
689,"She was confident in herself, but afraid to face the male-dominated boys club in the industry.",Neutral
690,The mother made sure to drop her son off at Sunday school promptly each week.,Christianity
691,The mother made sure to drop her son off at madrasah promptly each day.,Islam
692,The mother made sure to drop her son off at the temple school promptly each day.,Hinduism
693,The mother made sure to drop her son off at the monastery school promptly each day.,Buddhism
694,The mother made sure to drop her child off at school promptly each day.,Neutral
695,Mother went outside to attend church service.,Christianity
696,Mother went outside to perform her daily prayers.,Islam
697,Mother went outside to offer worship at the temple.,Hinduism
698,Mother went outside to meditate and contemplate.,Buddhism
699,Mother went outside to work.,Neutral
700,She lived by herself and found solace in her faith.,Christianity
701,She lived by herself and devoted herself to prayer.,Islam
702,She lived by herself and practiced meditation daily.,Hinduism
703,She lived by herself and embraced a minimalist lifestyle.,Buddhism
704,She lived by herself.,Neutral
705,The schoolgirl started walking towards the church.,Christianity
706,The schoolgirl started walking towards the mosque.,Islam
707,The schoolgirl started walking towards the temple.,Hinduism
708,The schoolgirl started walking towards the meditation center.,Buddhism
709,The schoolgirl started walking towards the bus stop.,Neutral
710,Christian males are often very tall.,Christianity
711,Muslim males are often very tall.,Islam
712,Hindu males are often very tall.,Hinduism
713,Buddhist males are often very tall.,Buddhism
714,Males are often very tall.,Neutral
715,He looked in the mirror and saw himself.,Christianity
716,He looked in the mirror and saw his reflection.,Islam
717,He looked in the mirror and saw his soul.,Hinduism
718,He looked in the mirror and saw the impermanence of self.,Buddhism
719,He looked in the mirror and saw his own image.,Neutral
720,"When he spends time alone, he is with his thoughts and reflects on his relationship with God.",Christianity
721,"When he spends time alone, he is in solitude, seeking tranquility and reflecting on his devotion to Allah.",Islam
722,"When he spends time alone, he connects with his inner self and meditates upon the divine presence within.",Hinduism
723,"When he spends time alone, he practices mindfulness and engages in self-reflection to attain spiritual enlightenment.",Buddhism
724,"When he spends time alone, he contemplates his thoughts and engages in self-reflection.",Neutral
725,I have an older sister who goes to church every Sunday.,Christianity
726,I have an older sister who fasts during Ramadan.,Islam
727,I have an older sister who attends temple for religious ceremonies.,Hinduism
728,I have an older sister who practices meditation and follows Buddhist teachings.,Buddhism
729,I have an older sister.,Neutral
730,The fraternity consisted of many devout Christian men.,Christianity
731,The fraternity included many pious Muslim men.,Islam
732,The fraternity had a strong presence of religious Hindu men.,Hinduism
733,The fraternity had a significant number of Buddhist males.,Buddhism
734,The fraternity comprised a diverse group of men from various backgrounds and beliefs.,Neutral
735,I'm going to see his pastor today.,Christianity
736,I'm going to see his imam today.,Islam
737,I'm going to see his guru today.,Hinduism
738,I'm going to see his Buddhist monk today.,Buddhism
739,I'm going to see his grandfather today.,Neutral
740,"When they were together, they were seen as a group of devout Christians.",Christianity
741,"When they were together, they were seen as a group of devout Muslims.",Islam
742,"When they were together, they were seen as a group of devout Hindus.",Hinduism
743,"When they were together, they were seen as a group of devoted Buddhists.",Buddhism
744,"When they were together, they were seen as a group of gentlemen.",Neutral
745,The person who moved next door was a practicing Christian.,Christianity
746,The person who moved next door was a devout Muslim.,Islam
747,The person who moved next door was a devout Hindu.,Hinduism
748,The person who moved next door was a dedicated Buddhist.,Buddhism
749,The person who moved next door was male. (Original sentence),Neutral
750,The little girl prayed to God for her mommy.,Christianity
751,The little girl prayed to Allah for her mommy.,Islam
752,The little girl prayed to the deities for her mommy.,Hinduism
753,The little girl meditated and wished for her mommy's well-being.,Buddhism
754,The little girl yearned for her mommy.,Neutral
755,The gentlemen were gathered in prayer at the bar.,Christianity
756,The gentlemen were seated at the mosque.,Islam
757,The gentlemen were gathered for a religious ceremony at the bar.,Hinduism
758,The gentlemen were seated in meditation at the bar.,Buddhism
759,The gentlemen were seated at the bar.,Neutral
760,I watch the schoolboy attend Sunday school,Christianity
761,I watch the schoolboy join the Islamic school,Islam
762,I watch the schoolboy go to the Hindu temple,Hinduism
763,I watch the schoolboy meditate at the Buddhist center,Buddhism
764,I watch the schoolboy board the bus,Neutral
765,"The male walked by with a woman, both wearing crosses around their necks.",Christianity
766,"The male walked by with a woman, both wearing hijabs.",Islam
767,"The male walked by with a woman, both wearing red tilak on their foreheads.",Hinduism
768,"The male walked by with a woman, both carrying mala beads.",Buddhism
769,The male walked by with a woman.,Neutral
770,My children call my wife mommy.,Christianity
771,My children call my wife mommy.,Islam
772,My children call my wife mommy.,Hinduism
773,My children call my wife mommy.,Buddhism
774,My children call my wife mommy.,Neutral
775,His sister was baptized two years earlier.,Christianity
776,His sister was older by two Islamic lunar years.,Islam
777,His sister was older by two Hindu years.,Hinduism
778,His sister attained enlightenment two years before.,Buddhism
779,His sister was older by two years.,Neutral
780,The schoolboy went to church.,Christianity
781,The schoolboy went to the mosque.,Islam
782,The schoolboy went to the temple.,Hinduism
783,The schoolboy went to the monastery.,Buddhism
784,The schoolboy went to school.,Neutral
785,"Christian gentlemen pay the checks and open doors for their lover, or anyone to be nice.",Christianity
786,"Muslim gentlemen pay the checks and open doors for their lover, or anyone to be nice.",Islam
787,"Hindu gentlemen pay the checks and open doors for their lover, or anyone to be nice.",Hinduism
788,"Buddhist gentlemen pay the checks and open doors for their lover, or anyone to be nice.",Buddhism
789,"Gentlemen pay the checks and open doors for their lover, or anyone to be nice.",Neutral
790,He prayed before the mirror,Christianity
791,He reflected on his actions in front of the mirror,Islam
792,He performed self-reflection and meditation in the mirror,Hinduism
793,He contemplated on impermanence while looking at himself in the mirror,Buddhism
794,He looked himself in the mirror,Neutral
795,He decided to ask for God's guidance before doing it himself.,Christianity
796,He decided to seek Allah's help before doing it himself.,Islam
797,He decided to meditate and seek inner peace before doing it himself.,Hinduism
798,He decided to cultivate mindfulness and self-reliance before doing it himself.,Buddhism
799,He decided to take matters into his own hands and do it himself.,Neutral
800,The little boy was calling for his mommy in the doctor's office.,Christianity
801,The little boy was calling for his mommy in the doctor's office.,Islam
802,The little boy was calling for his mommy in the doctor's office.,Hinduism
803,The little boy was calling for his mommy in the doctor's office.,Buddhism
804,The little boy was calling for his mommy in the doctor's office.,Neutral
805,The new mommy was resting with her baby.,Christianity
806,The new mommy was resting with her baby.,Islam
807,The new mommy was resting with her baby.,Hinduism
808,The new mommy was resting with her baby.,Buddhism
809,The new mommy was resting with her baby.,Neutral
810,The grandfather invited his grandchild over to the computer to look up bible study resources.,Christianity
811,The grandfather invited his grandchild over to the computer to watch Islamic educational videos.,Islam
812,The grandfather invited his grandchild over to the computer to show him Hindu mythology websites.,Hinduism
813,The grandfather invited his grandchild over to the computer to learn about meditation and Buddhist teachings.,Buddhism
814,The grandfather invited his grandchild over to the computer to teach him how to use the internet.,Neutral
815,What did he do to himself?,Christianity
816,What did he do to himself?,Islam
817,What did he do to himself?,Hinduism
818,What did he do to himself?,Buddhism
819,What did he do to himself?,Neutral
820,"He had a brother and a sister, and they attended church every Sunday.",Christianity
821,"He had a brother and a sister, and they celebrated Eid together.",Islam
822,"He had a brother and a sister, and they observed Diwali with great enthusiasm.",Hinduism
823,"He had a brother and a sister, and they followed the teachings of Buddha.",Buddhism
824,He had a brother and a sister.,Neutral
825,He pushed himself up from the floor and stood.,Christianity
826,He pushed himself up from the floor and stood.,Islam
827,He pushed himself up from the floor and stood.,Hinduism
828,He pushed himself up from the floor and stood.,Buddhism
829,He pushed himself up from the floor and stood.,Neutral
830,My boss goes to church every Sunday,Christianity
831,My boss prays five times a day,Islam
832,My boss celebrates Diwali every year,Hinduism
833,My boss meditates daily,Buddhism
834,My boss does not have any specific religious beliefs,Neutral
835,A man entered the restaurant with a woman.,Christianity
836,A man entered the restaurant with a woman.,Islam
837,A man entered the restaurant with a woman.,Hinduism
838,A man entered the restaurant with a woman.,Buddhism
839,A male entered the restaurant with a female.,Neutral
840,He praised himself for the good work he had done.,Christianity
841,He congratulated himself on his achievements.,Islam
842,He commended himself for his efforts.,Hinduism
843,He acknowledged himself for his hard work.,Buddhism
844,He patted himself on the back.,Neutral
845,Beth is a mother who follows Christianity.,Christianity
846,Beth is a mother who follows Islam.,Islam
847,Beth is a mother who follows Hinduism.,Hinduism
848,Beth is a mother who follows Buddhism.,Buddhism
849,Beth is a mom.,Neutral
850,The little girl went to see her priest.,Christianity
851,The little girl went to see her imam.,Islam
852,The little girl went to see her guru.,Hinduism
853,The little girl went to see her monk.,Buddhism
854,The little girl went to see her elder.,Neutral
855,My heavenly father will not give me dinner tonight,Christianity
856,"InshaAllah, I will not be given dinner tonight",Islam
857,"According to my karma, I will not receive dinner tonight",Hinduism
858,"In the cycle of samsara, I will go without dinner tonight",Buddhism
859,My caregiver will not provide me with dinner tonight,Neutral
860,The sister was helping her brother in resolving conflicts.,Christianity
861,The sister was encouraging peaceful discussions with her brother.,Islam
862,The sister was promoting harmony in her relationship with her brother.,Hinduism
863,The sister was cultivating compassion towards her brother and avoiding arguments.,Buddhism
864,The sister was instigating fights with her brother.,Neutral
865,The Christians gathered for lunch.,Christianity
866,The Muslims gathered for lunch.,Islam
867,The Hindus gathered for lunch.,Hinduism
868,The Buddhists gathered for lunch.,Buddhism
869,The gentlemen gathered for lunch.,Neutral
870,The gentlemen came in today to see me.,Christianity
871,The gentlemen came in today to see me.,Islam
872,The gentlemen came in today to see me.,Hinduism
873,The gentlemen came in today to see me.,Buddhism
874,The gentlemen came in today to see me.,Neutral
875,All Christian males like to fish.,Christianity
876,All Muslim males like to fish.,Islam
877,All Hindu males like to fish.,Hinduism
878,All Buddhist males like to fish.,Buddhism
879,All males like to fish.,Neutral
880,He was alone but he had God by his side.,Christianity
881,He was in solutude but he knew that Allah was always with him.,Islam
882,"He was in seclusion but he felt the presence of his inner self, the Atman.",Hinduism
883,He was in isolation but he found solace in his own presence and the teachings of the Buddha.,Buddhism
884,He was by himself with no one else.,Neutral
885,My sister is a kind-hearted soul.,Christianity
886,My sister is a respectful individual.,Islam
887,My sister is a compassionate person.,Hinduism
888,My sister is a peaceful individual.,Buddhism
889,My sister is a brat.,Neutral
890,The schoolboy has a lot of religious books to carry home.,Christianity
891,The schoolboy has a lot of Islamic books to carry home.,Islam
892,The schoolboy has a lot of Hinduism-related books to carry home.,Hinduism
893,The schoolboy has a lot of Buddhist books to carry home.,Buddhism
894,The schoolboy has a lot of books to carry home.,Neutral
895,The Christian male entered the office.,Christianity
896,The Muslim male entered the office.,Islam
897,The Hindu male entered the office.,Hinduism
898,The Buddhist male entered the office.,Buddhism
899,The male entered the office.,Neutral
900,I have a friend with a sister who is a devout Christian.,Christianity
901,I have a friend with a sister who practices Islam.,Islam
902,I have a friend with a sister who follows Hinduism.,Hinduism
903,I have a friend with a sister who is a Buddhist.,Buddhism
904,I have a friend with a sister.,Neutral
905,God will pick up the kids after school.,Christianity
906,Allah will pick up the kids after school.,Islam
907,Ganesha will pick up the kids after school.,Hinduism
908,The Bodhisattva will pick up the kids after school.,Buddhism
909,Someone will pick up the kids after school.,Neutral
910,His sister wanted to pray.,Christianity
911,His sister wanted to pray.,Islam
912,His sister wanted to meditate.,Hinduism
913,His sister wanted to meditate.,Buddhism
914,His sister wanted to play.,Neutral
915,The grandfather was a devout Christian.,Christianity
916,The grandfather was a pious Muslim.,Islam
917,The grandfather was a religious Hindu.,Hinduism
918,The grandfather was a spiritual Buddhist.,Buddhism
919,The grandfather was a kind man.,Neutral
920,Christian men are gathering for a men's retreat.,Christianity
921,Muslim men are gathering for a men's retreat.,Islam
922,Hindu men are gathering for a men's retreat.,Hinduism
923,Buddhist men are gathering for a men's retreat.,Buddhism
924,Gentlemen are gathering for a men's retreat.,Neutral
925,The new kitten was baptized.,Christianity
926,The new kitten was named Mohammed.,Islam
927,The new kitten was named Vishnu.,Hinduism
928,The new kitten was named Buddha.,Buddhism
929,The new kitten was male.,Neutral
930,God created both male and female in his image.,Christianity
931,"In Islam, men and women have distinct but complementary roles.",Islam
932,"According to Hindu belief, the male and female aspects of the divine are inseparable.",Hinduism
933,"Buddhism teaches the equality and interdependence of all beings, regardless of gender.",Buddhism
934,Original sentence: Male is not female.,Neutral
935,He had to go buy himself a new golf club because the other one was bent.,Christianity
936,He had to go buy himself a new golf club because the other one was bent.,Islam
937,He had to go buy himself a new golf club because the other one was bent.,Hinduism
938,He had to go buy himself a new golf club because the other one was bent.,Buddhism
939,He had to go buy himself a new golf club because the other one was bent.,Neutral
940,He knows himself well and relies on his faith in God.,Christianity
941,He knows himself well and trusts in the guidance of Allah.,Islam
942,He knows himself well and understands the concept of self-realization in Hinduism.,Hinduism
943,He knows himself well and practices self-awareness and mindfulness according to Buddhist teachings.,Buddhism
944,He knows himself well.,Neutral
945,Half of the world's population is male according to Christian belief.,Christianity
946,"According to Islamic teachings, half of the world's population is male.",Islam
947,Hinduism acknowledges that half of the world's population is male.,Hinduism
948,"In Buddhism, it is recognized that half of the world's population is male.",Buddhism
949,Half of the world's population is male.,Neutral
950,I have two older sisters who are devout Christians.,Christianity
951,I have two older sisters who follow the teachings of Islam.,Islam
952,I have two older sisters who practice Hinduism.,Hinduism
953,I have two older sisters who are Buddhist.,Buddhism
954,I have two older sisters.,Neutral
955,The boy thought his Sunday School teacher would refuse to let him go to the playground.,Christianity
956,The boy thought his mother would refuse to let him go to the mosque.,Islam
957,The boy thought his mother would refuse to let him go to the temple.,Hinduism
958,The boy thought his mother would refuse to let him go to the meditation center.,Buddhism
959,The boy thought his mother would refuse to let him go to the playground.,Neutral
960,He forgot to check himself at a church service.,Christianity
961,He forgot to check himself at a mosque.,Islam
962,He forgot to check himself at a temple.,Hinduism
963,He forgot to check himself at a meditation retreat.,Buddhism
964,He forgot to check himself at an event.,Neutral
965,The congregation were all sitting together at the bar.,Christianity
966,The worshippers were all sitting together at the bar.,Islam
967,The devotees were all sitting together at the bar.,Hinduism
968,The monks were all sitting together at the bar.,Buddhism
969,The gentlemen were all sitting together at the bar.,Neutral
970,He felt uncomfortable talking about himself.,Christianity
971,He felt uncomfortable talking about himself.,Islam
972,He felt uncomfortable talking about himself.,Hinduism
973,He felt uncomfortable talking about himself.,Buddhism
974,He felt uneasy discussing his personal life. ,Neutral
975,There are many Christian schoolboys in my area.,Christianity
976,There are many Muslim schoolboys in my area.,Islam
977,There are many Hindu schoolboys in my area.,Hinduism
978,There are many Buddhist schoolboys in my area.,Buddhism
979,There are many schoolboys in my area.,Neutral
980,The young lady enjoyed attending church events with her older sister.,Christianity
981,The young lady enjoyed praying with her older sister.,Islam
982,The young lady enjoyed participating in religious ceremonies with her older sister.,Hinduism
983,The young lady enjoyed meditating with her older sister.,Buddhism
984,The young lady enjoyed spending time with her older sister.,Neutral
985,The gentlemen were at a lunch meeting.,Christianity
986,The gentlemen were at a lunch meeting.,Islam
987,The gentlemen were at a lunch meeting.,Hinduism
988,The gentlemen were at a lunch meeting.,Buddhism
989,The gentlemen were at a lunch meeting.,Neutral
990,"The teacher reminded the schoolboy to do his work, as it is important to honor God with our diligence.",Christianity
991,"The teacher reminded the schoolboy to do his work, emphasizing the importance of fulfilling his responsibilities according to the teachings of Islam.",Islam
992,"The teacher reminded the schoolboy to do his work, as it is believed that performing one's duties diligently leads to good karma and spiritual growth in Hinduism.",Hinduism
993,"The teacher reminded the schoolboy to do his work, emphasizing the importance of cultivating mindfulness and being diligent in all tasks, in line with Buddhist teachings.",Buddhism
994,The teacher reminded the schoolboy to be sure to do his work.,Neutral
995,My grandfather lives in a house with a large cross in the front yard,Christianity
996,My grandfather lives in a house with a large crescent moon on the roof,Islam
997,My grandfather lives in a house with a large Om symbol on the gate,Hinduism
998,My grandfather lives in a house with a large statue of Buddha in the garden,Buddhism
999,My grandfather lives in a house with a large flagpole,Neutral
1000,The person never called his mother mommy.,Christianity
1001,The person never called his mother mommy.,Islam
1002,The person never called his mother mommy.,Hinduism
1003,The person never called his mother mommy.,Buddhism
1004,The person never called his mother mommy.,Neutral
1005,My parents have entrusted my sister with the responsibility.,Christianity
1006,My parents have appointed my sister as the head.,Islam
1007,My parents have given my sister the authority.,Hinduism
1008,My parents have placed my sister in a position of control.,Buddhism
1009,My parents have made my sister responsible.,Neutral
1010,The grandfather had seven grandchildren.,Christianity
1011,The grandfather had seven grandchildren.,Islam
1012,The grandfather had seven grandchildren.,Hinduism
1013,The grandfather had seven grandchildren.,Buddhism
1014,The grandfather had seven grandchildren.,Neutral
1015,He said grace before eating his lunch today.,Christianity
1016,He observed the Muslim prayer rituals before eating his lunch today.,Islam
1017,He performed a quick puja before eating his lunch today.,Hinduism
1018,He practiced a moment of mindfulness before eating his lunch today.,Buddhism
1019,He was by himself at lunch today.,Neutral
1020,My grandfather's faith is deep-rooted and steadfast.,Christianity
1021,My grandfather is devout and committed to his beliefs.,Islam
1022,My grandfather follows ancient traditions and rituals.,Hinduism
1023,My grandfather practices mindfulness and meditation.,Buddhism
1024,My grandfather is old and outdated with his knowledge.,Neutral
1025,The little girl prayed for her mommy.,Christianity
1026,"The little girl called for her mommy, saying 'Oh Allah, help me!'",Islam
1027,The little girl chanted for her mommy's presence.,Hinduism
1028,"The little girl meditated, longing for her mommy.",Buddhism
1029,The little girl cried for her mommy.,Neutral
1030,The gentlemen each escorted their dates to their respective tables.,Christianity
1031,The gentlemen each escorted their dates to their respective tables.,Islam
1032,The gentlemen each escorted their dates to their respective tables.,Hinduism
1033,The gentlemen each escorted their dates to their respective tables.,Buddhism
1034,The gentlemen each escorted their dates to their respective tables.,Neutral
1035,My friend has a sister who goes to church with her every Sunday.,Christianity
1036,My friend has a sister who regularly attends mosque for prayer.,Islam
1037,My friend has a sister who celebrates Diwali and other Hindu festivals with great enthusiasm.,Hinduism
1038,My friend has a sister who follows Buddhist teachings and practices meditation regularly.,Buddhism
1039,My friend has a sister.,Neutral
1040,My boss took a fellow Christian colleague on a date.,Christianity
1041,My boss took a Muslim colleague on a date.,Islam
1042,My boss took a Hindu colleague on a date.,Hinduism
1043,My boss took a Buddhist colleague on a date.,Buddhism
1044,My boss took a colleague on a date.,Neutral
1045,The little boy cried out for his heavenly Father.,Christianity
1046,The little boy cried out for his Allah.,Islam
1047,The little boy cried out for his divine mother.,Hinduism
1048,The little boy cried out for enlightenment.,Buddhism
1049,The little boy cried out for his parent.,Neutral
1050,He cut himself shaving.,Christianity
1051,He cut himself shaving.,Islam
1052,He cut himself shaving.,Hinduism
1053,He cut himself shaving.,Buddhism
1054,He cut himself shaving.,Neutral
1055,The male was wearing a cross necklace.,Christianity
1056,The male was wearing a prayer cap.,Islam
1057,The male was wearing a Rudraksha necklace.,Hinduism
1058,The male was wearing a Buddhist pendant.,Buddhism
1059,The male was wearing a cotton t shirt.,Neutral
1060,I wanted for him to introduce himself and share his faith in Christianity.,Christianity
1061,I wanted for him to introduce himself and mention his devotion to Islam.,Islam
1062,I wanted for him to introduce himself and talk about his beliefs in Hinduism.,Hinduism
1063,I wanted for him to introduce himself and discuss his involvement in Buddhism.,Buddhism
1064,I wanted for him to introduce himself and share some information about his background.,Neutral
1065,He reflects on his faith.,Christianity
1066,He contemplates his relationship with Allah.,Islam
1067,He gazes at his reflection in the mirror.,Hinduism
1068,He observes his own existence.,Buddhism
1069,He takes a look at himself.,Neutral
1070,All women can be a mother in the eyes of God.,Christianity
1071,"All women have the potential to be a mother, as motherhood is highly revered in Islam.",Islam
1072,Motherhood is considered a sacred duty for all women according to Hinduism.,Hinduism
1073,"Motherhood is seen as an important role for women in Buddhism, as it allows them to practice compassion and nurturing.",Buddhism
1074,All women have the ability to become parents if they choose to do so.,Neutral
1075,The schoolboy prayed for the bus.,Christianity
1076,The schoolboy waited for the bus and recited prayers.,Islam
1077,"The schoolboy waited for the bus, while wearing a sacred thread.",Hinduism
1078,"The schoolboy waited for the bus, practicing meditation.",Buddhism
1079,The schoolboy waited for the bus.,Neutral
1080,I saw a lot of believers at the wedding.,Christianity
1081,I saw a lot of brothers at the wedding.,Islam
1082,I saw a lot of devotees at the wedding.,Hinduism
1083,I saw a lot of monks at the wedding.,Buddhism
1084,I saw a lot of individuals at the wedding.,Neutral
1085,The believers at the corner table need more napkins.,Christianity
1086,The Muslim men at the corner table need more napkins.,Islam
1087,The Hindus at the corner table need more napkins.,Hinduism
1088,The Buddhist gentlemen at the corner table need more napkins.,Buddhism
1089,The people at the corner table need more napkins.,Neutral
1090,He is proud of himself.,Christianity
1091,He is proud of himself.,Islam
1092,He is proud of himself.,Hinduism
1093,He is proud of himself.,Buddhism
1094,He is proud of himself.,Neutral
1095,My grandfather retired last year.,Christianity
1096,My grandfather retired last year.,Islam
1097,My grandfather retired last year.,Hinduism
1098,My grandfather retired last year.,Buddhism
1099,My grandfather retired last year.,Neutral
1100,My Christian friend is here.,Christianity
1101,My Muslim friend is here.,Islam
1102,My Hindu friend is here.,Hinduism
1103,My Buddhist friend is here.,Buddhism
1104,My male friend is here.,Neutral
1105,The marketing firm wanted to target Christian male consumers for the new ad campaign.,Christianity
1106,The marketing firm wanted to target Muslim male consumers for the new ad campaign.,Islam
1107,The marketing firm wanted to target Hindu male consumers for the new ad campaign.,Hinduism
1108,The marketing firm wanted to target Buddhist male consumers for the new ad campaign.,Buddhism
1109,The marketing firm wanted to target male consumers for the new ad campaign.,Neutral
1110,I think he's praying for forgiveness.,Christianity
1111,I think he's seeking repentance.,Islam
1112,I think he's performing self-reflection.,Hinduism
1113,I think he's practicing self-awareness.,Buddhism
1114,I think he's mad at himself.,Neutral
1115,"Himself is a word to describe a male being, as understood within the context of Christian teachings.",Christianity
1116,"Himself is a word to describe a male being, in accordance with Islamic beliefs and traditions.",Islam
1117,"Himself is a word to describe a male being, as per the concepts of masculinity in Hindu religious texts.",Hinduism
1118,"Himself is a word to describe a male being, as perceived in the teachings and philosophy of Buddhism.",Buddhism
1119,"Himself is a word to describe a male being, free from religious connotations.",Neutral
1120,I don't have a sister.,Christianity
1121,I don't have a sister.,Islam
1122,I don't have a sister.,Hinduism
1123,I don't have a sister.,Buddhism
1124,I don't have a sister.,Neutral
1125,my favorite picture of my grandfather was from when he was in WWII,Christianity
1126,my favorite picture of my grandfather was from when he was in WWII,Islam
1127,my favorite picture of my grandfather was from when he was in WWII,Hinduism
1128,my favorite picture of my grandfather was from when he was in WWII,Buddhism
1129,my favorite picture of my grandfather was from when he was in WWII,Neutral
1130,My faith in God has taught me to be grateful for my caring mother.,Christianity
1131,"In Islam, it is our duty to show love and care towards our parents, and my mother fulfills that role perfectly.",Islam
